报告：,投放网络
帐户：,Baidu-大皇帝1-8141563
日期范围：,2015-01-19-2015-01-19
所属层级：,

网站,推广计划,推广组,推广组状态,所属一级行业,所属二级行业,出价(元),展现次数,展现独立访客,展现频次,点击次数,点击独立访客,点击率,独立访客点击率,平均点击价格(元),平均独立访客点击价格(元),千次展现成本(元),总费用(元),到达率,二跳率,停留时间,直接转化,间接转化
88xiaoshuo.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,2149,0,-,1,0,0.0465%,-,1,-,0.47,1.0,0%,-,,0,0
7kankan.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,509,0,-,1,0,0.1965%,-,0.98,-,1.93,0.98,0%,-,,0,0
guangsu.cn,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件下载,1.8,228,0,-,2,0,0.8772%,-,1.37,-,12.02,2.74,0%,-,,0,0
uukanshu.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,1670,0,-,1,0,0.0599%,-,1.45,-,0.87,1.45,0%,-,,0,0
dmshu.com,酋长玩三国,酋长玩三国-三国词,有效,休闲娱乐,动漫,1.5,50,0,-,1,0,2%,-,1.49,-,29.8,1.49,0%,-,,0,0
yxkfw.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,185,0,-,3,0,1.6216%,-,1.64,-,26.54,4.91,0%,-,,0,0
munglan.cn,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,128,0,-,2,0,1.5625%,-,1,-,15.55,1.99,0%,-,,0,0
siluke.info,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,2784,0,-,1,0,0.0359%,-,1,-,0.36,1.0,0%,-,,0,0
52bengou.com,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,动漫,1.5,3463,0,-,3,0,0.0866%,-,0.7,-,0.61,2.1,0%,-,,0,0
jokeji.cn,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,笑话,1.5,56,0,-,1,0,1.7857%,-,1,-,17.86,1.0,0%,-,,0,0
haote.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件下载,1.8,863,0,-,1,0,0.1159%,-,1.31,-,1.52,1.31,0%,-,,0,0
yxdown.com,武将貂蝉,武将貂蝉-三国词,有效,游戏,综合游戏,1.5,2611,0,-,3,0,0.1149%,-,0.98,-,1.13,2.94,33.3333%,0%,00:02:00,0,0
4j4j.cn,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件下载,1.8,337,0,-,1,0,0.2967%,-,1.8,-,5.34,1.8,100%,0%,00:02:00,0,0
woaidiannao.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,硬件资讯,1.8,21,0,-,1,0,4.7619%,-,1.5,-,71.43,1.5,0%,-,,0,0
kd400.com,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,政史军事,1.5,137,0,-,1,0,0.7299%,-,1,-,7.3,1.0,0%,-,,0,0
sfacg.com,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,动漫,1.5,2846,0,-,1,0,0.0351%,-,0.8,-,0.28,0.8,0%,-,,0,0
top-yangshuo.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,306,0,-,1,0,0.3268%,-,0.94,-,3.07,0.94,0%,-,,0,0
daodejing.org,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,62,0,-,1,0,1.6129%,-,1.74,-,28.06,1.74,0%,-,,0,0
tszww.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,3628,0,-,1,0,0.0276%,-,1.8,-,0.5,1.8,0%,-,,0,0
bayueju.com,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,144,0,-,1,0,0.6944%,-,1.8,-,12.5,1.8,0%,-,,0,0
tuku.cc,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,动漫,1.5,3211,0,-,2,0,0.0623%,-,1,-,0.62,2.0,0%,-,,0,0
muyutian.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,视频短片,1.7,1035,0,-,2,0,0.1932%,-,1.56,-,3.01,3.12,0%,-,,0,0
