报告：,投放网络
帐户：,Baidu-大皇帝1-8141563
日期范围：,2015-01-19-2015-01-19
所属层级：,

网站,推广计划,推广组,推广组状态,所属一级行业,所属二级行业,出价(元),展现次数,展现独立访客,展现频次,点击次数,点击独立访客,点击率,独立访客点击率,平均点击价格(元),平均独立访客点击价格(元),千次展现成本(元),总费用(元),到达率,二跳率,停留时间,直接转化,间接转化
114zhibo.com,武将貂蝉,武将貂蝉-三国词,有效,体育运动,体育综合,1.5,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
3533.com,3D领取吕布,3D领取吕布-三国词,有效,数码及手机,数码及手机资讯,1.8,35,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
guashan.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kuaisee.com,黑人打江山,黑人打江山-三国词,有效,小说,文化文学,1.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
icili.com,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,娱乐综合,1.8,14,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wordlm.com,黑人打江山,黑人打江山-直投,有效,计算机软件硬件,软件交流,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiazailou.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,75,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fangying.tv,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qq-bz.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,111,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ok87.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,38,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lawen2.com,酋长玩三国,酋长玩三国-三国词,有效,小说,电子书,2.0,11,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
html580.com,黑人打江山,黑人打江山-直投,有效,网络服务应用,源码下载,0.6,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tt78.cc,黑人打江山,黑人打江山-三国词,有效,音乐影视,娱乐综合,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cdle.net,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,垂直论坛,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hkdy.net,酋长玩三国,酋长玩三国-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
peixunwang.com.cn,新三国解密,新三国解密-三国词,有效,新闻媒体,地方媒体,1.0,64,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ourtrade.net,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
caoliu.cn,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jiang7.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,农林牧渔,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wfbrood.com,囧叔说三国,囧叔说三国-三国词,有效,游戏,综合游戏,1.8,12,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
599z.com,囧叔说三国,囧叔说三国-三国词,有效,游戏,网络游戏,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fj1887.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,地方媒体,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
3dst.com,黑人打江山,黑人打江山-三国词,有效,网络服务应用,技术论坛,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kx43.com,黑人打江山,黑人打江山-直投,有效,休闲娱乐,笑话,0.6,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
leiqu.net,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,36,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shuiguobang.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,农林牧渔,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dzbdq.com,新三国解密,新三国解密-三国词,有效,网址导航,,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yaomtv.com.cn,黑人打江山,黑人打江山-三国词,有效,体育运动,篮球NBA,2.0,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
vprol.com,新三国解密,新三国解密-三国词,有效,网络服务应用,技术论坛,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yntz.net,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,交友和婚恋,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bjwh.org,黑人打江山,黑人打江山-直投,有效,新闻媒体,地方媒体,0.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
eastshu.com,黑人打江山,黑人打江山-三国词,有效,小说,文化文学,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wenchenhk.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件交流,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ued361.com,新三国解密,新三国解密-三国词,有效,网络服务应用,技术论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
edianlin.com,黑人打江山,黑人打江山-直投,有效,体育运动,体育综合,1.0,26,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ddc.net.cn,新三国解密,新三国解密-三国词,有效,垂直行业,交通物流,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mydigit.cn,黑人打江山,黑人打江山-直投,有效,数码及手机,数码及手机资讯,0.6,13,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
opencvchina.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件交流,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jinwan.tv,黑人打江山,黑人打江山-直投,有效,音乐影视,宽带电影,0.6,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
c969.com,黑人打江山,黑人打江山-三国词,有效,投资金融,财经资讯,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bianju.me,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
esou.biz,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,169,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
2013beyond.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,娱乐综合,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jingangjing.net,黑人打江山,黑人打江山-三国词,有效,小说,文化文学,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
52hbtv.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,广播/电视,1.6,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cjcp.com.cn,黑人打江山,黑人打江山-三国词,有效,投资金融,博彩/彩票,1.8,204,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
somengba.com,黑人打江山,黑人打江山-直投,有效,网络服务应用,搜索查询,0.6,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
v6.cn,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fhl168.com,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,政史军事,1.7,29,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
anyv.net,3D领取吕布,3D领取吕布-三国词,有效,数码及手机,手机资源及下载,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
vihh.net,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,综合论坛,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mihua.net,3D领取吕布,3D领取吕布-三国词,有效,小说,文化文学,1.8,66,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
13097.com,黑人打江山,黑人打江山-直投,有效,数码及手机,手机资源及下载,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kejimeixue.com,3D领取吕布,3D领取吕布-三国词,有效,数码及手机,数码及手机资讯,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
etsstar.com,新三国解密,新三国解密-三国词,有效,网络服务应用,搜索查询,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lnyouth.org.cn,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,地方媒体,1.7,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zz0371ug.com,囧叔说三国,囧叔说三国-三国词,有效,投资金融,财经资讯,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xuandou.cc,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
88dy.tv,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,视频短片,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
13zw.cn,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
51kino.com,黑人打江山,黑人打江山-直投,有效,网络服务应用,技术论坛,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
anhuinews.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,综合门户,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yyyweb.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件交流,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wsyyw.com,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cnidcnet.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,商务贸易,1.8,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
henanyouth.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,地方媒体,1.6,14,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xigua110.com,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,79,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
haotijin.com,新三国解密,新三国解密-三国词,有效,休闲娱乐,笑话,1.3,28,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
1980a.com,黑人打江山,黑人打江山-三国词,有效,数码及手机,手机资源及下载,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
haote.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件下载,1.7,54,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tianwx.com,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fxcmz.com,囧叔说三国,囧叔说三国-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hecidaquan.com,黑人打江山,黑人打江山-三国词,有效,小说,文化文学,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
blfentao.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,综合论坛,0.6,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
moorburn.com,新三国解密,新三国解密-三国词,有效,新闻媒体,综合门户,1.0,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiaoyaolife.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,综合论坛,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kewaishu.net,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,471,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mingxingyule.com,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,13,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
thegly.com,酋长玩三国,酋长玩三国-三国词,有效,社交网络和在线社区,综合论坛,1.5,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
175mod.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件下载,1.7,19,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
7zcn.cn,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
keleyi.com,新三国解密,新三国解密-三国词,有效,网络服务应用,技术论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tt78.cc,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jiyi8.net,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dianjian.net,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wu888.cn,黑人打江山,黑人打江山-直投,有效,体育运动,体育综合,1.0,15,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
desk-site.com,新三国解密,新三国解密-三国词,有效,数码及手机,手机资源及下载,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hong111.com,新三国解密,新三国解密-三国词,有效,新闻媒体,政史军事,1.0,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
loveui.cn,黑人打江山,黑人打江山-三国词,有效,网络服务应用,网络相册,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
517384.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
l7po.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,宽带电影,1.8,60,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xinjianli.com,武将貂蝉,武将貂蝉-三国词,有效,音乐影视,娱乐综合,1.5,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
17ps8.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
nyjxw.com,新三国解密,新三国解密-三国词,有效,垂直行业,农林牧渔,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
manmankan.com,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,动漫,1.5,105,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jzyzj.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,22,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
521yy.com,3D领取吕布,3D领取吕布-三国词,有效,网络服务应用,搜索查询,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ec233.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,商务贸易,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chinawjzx.com,3D领取吕布,3D领取吕布-三国词,有效,社交网络和在线社区,综合论坛,1.8,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
beiwokan.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,221,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
thanklawfirm.com,新三国解密,新三国解密-三国词,有效,新闻媒体,综合门户,1.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sina.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xinruijunshi.com,新三国解密,新三国解密-三国词,有效,新闻媒体,政史军事,1.0,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tpyjs.com.cn,黑人打江山,黑人打江山-三国词,有效,新闻媒体,政史军事,1.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
manwei.wang,酋长玩三国,酋长玩三国-三国词,有效,休闲娱乐,动漫,1.5,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
92jh.cn,3D领取吕布,3D领取吕布-三国词,有效,社交网络和在线社区,综合论坛,1.8,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qianboshi.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,SNS,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zhiip.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件下载,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bjyouth.org.cn,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
23pie.com,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,交友和婚恋,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
88yulu.com,3D领取吕布,3D领取吕布-三国词,有效,小说,文化文学,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qite369.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,政史军事,1.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qqz4.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,34,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dengbi.com,酋长玩三国,酋长玩三国-三国词,有效,小说,小说阅读,2.0,1484,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
upantool.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件下载,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hookan.com,黑人打江山,黑人打江山-三国词,有效,小说,电子书,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
33dm.net,酋长玩三国,酋长玩三国-三国词,有效,休闲娱乐,动漫,1.5,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
petroren.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,垂直论坛,0.6,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
muyuge.net,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,96,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jingmei888.com,3D领取吕布,3D领取吕布-三国词,有效,休闲娱乐,笑话,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
pv001.net,新三国解密,新三国解密-三国词,有效,垂直行业,化工/能源,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sosg.net,3D领取吕布,3D领取吕布-三国词,有效,休闲娱乐,动漫,0.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dospy.com,新三国解密,新三国解密-三国词,有效,数码及手机,数码及手机资讯,1.8,77,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
subotv.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shu86.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,21,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qtbashi.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件交流,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wenzhangwu.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
2008.tv,酋长玩三国,酋长玩三国-三国词,有效,音乐影视,宽带电影,1.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
meshot.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chuanciwang.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shouji001.com.cn,黑人打江山,黑人打江山-三国词,有效,休闲娱乐,笑话,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
4j4j.cn,黑人打江山,黑人打江山-直投,有效,计算机软件硬件,软件下载,0.6,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dianxinnews.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,28,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
aiyujie.com,黑人打江山,黑人打江山-三国词,有效,休闲娱乐,笑话,1.7,22,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cnprint.org,3D领取吕布,3D领取吕布-三国词,有效,社交网络和在线社区,垂直论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
51poca.com,黑人打江山,黑人打江山-直投,有效,计算机软件硬件,软件交流,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sdchina.com,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,地方媒体,1.7,151,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yetu.net,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,娱乐综合,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
uitv.com.cn,新三国解密,新三国解密-三国词,有效,音乐影视,视频短片,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qunsen.net,新三国解密,新三国解密-三国词,有效,计算机软件硬件,电脑产品,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
militaryy.cn,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,政史军事,1.7,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zaixian-fanyi.com,武将貂蝉,武将貂蝉-三国词,有效,网络服务应用,在线翻译,1.5,14,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
0750heshan.com,武将貂蝉,武将貂蝉-三国词,有效,社交网络和在线社区,综合论坛,1.5,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
uu56.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cctax.cn,黑人打江山,黑人打江山-三国词,有效,投资金融,财经资讯,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
officezhushou.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件交流,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
uukanshu.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,703,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
huangpujs.cn,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,政史军事,1.7,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
aztxt.com,黑人打江山,黑人打江山-三国词,有效,小说,电子书,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
804w.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gricen.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,政史军事,0.8,124,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tunshe.net,新三国解密,新三国解密-三国词,有效,游戏,单机游戏,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
icanjob.com,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lvguo.net,新三国解密,新三国解密-三国词,有效,垂直行业,农林牧渔,1.8,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
vlook.cn,新三国解密,新三国解密-三国词,有效,音乐影视,视频短片,1.8,11,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
77caifu.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiaoyuanju.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,17,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
630.cc,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
syzww.net,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,50,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
juniu99.com,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件交流,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zzshequ.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,13,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mdwxj.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,13,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lovesoo.org,黑人打江山,黑人打江山-直投,有效,计算机软件硬件,软件交流,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
17kk.cc,酋长玩三国,酋长玩三国-三国词,有效,休闲娱乐,动漫,1.5,109,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
steamcn.com,黑人打江山,黑人打江山-三国词,有效,游戏,综合游戏,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
163yesok.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,娱乐综合,1.7,33,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kxs7.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jxntv.cn,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,广播/电视,1.5,34,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sonyue.com,新三国解密,新三国解密-三国词,有效,数码及手机,手机资源及下载,1.8,261,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
92wudao.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,40,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
haoxinshu.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shuixiangu.com,黑人打江山,黑人打江山-直投,有效,计算机软件硬件,软件交流,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tjgxff.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,92,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xqvip.com,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
msn.com.cn,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,综合门户,1.7,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
taodengji.com,新三国解密,新三国解密-三国词,有效,网络服务应用,搜索查询,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kindle345.com,黑人打江山,黑人打江山-三国词,有效,小说,电子书,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jiegouok.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,垂直论坛,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
